author;gender
Jean Hegland;Female
Jean-Baptiste Cousin de Grainville;Male
Jeanne DuPrau;Female
Jeff Long;Male
Jeff Noon;Male
Jeff VanderMeer;Male
Jennifer Egan;Female
Jennifer L. Armentrout;Female
Jerry Pournelle;Male
Jerry Sohl;Male
Jessamine Chan;Female
Jessie Mihalik;Female
Jim Butcher;Male
Jim C. Hines;Male
Jo Harkin;Female
Joan D. Vinge;Female
Joan He;Female
Joanna Russ;Female
Jodi Taylor;Female
Joe Haldeman;Male
Joe Hill;Male
Joe Schreiber;Male
Joelle Charbonneau;Female
Johan Harstad;Male
John Ames Mitchell;Male
John Brunner;Male
John Christopher;Male
John Crowley;Male
John D. MacDonald;Male
John Jacob Astor IV;Male
John Marrs;Male
John Marsden;Male
John Ringo;Male
John Scalzi;Male
John Steakley;Male
John Taine;Male
John Varley;Male
John Wyndham;Male
Jonathan Lethem;Male
Joseph O'Neill;Male
Josh Malerman;Male
José Saramago;Male
Judith Merril;Female
Jules Verne;Male
Juli Zeh;Female
Julian May;Female
Justin Cronin;Male
K.A. Applegate;Female
K.M. Szpara;Male
K.W. Jeter;Male
Kali Wallace;Female
Kaliane Bradley;Female
Karel Čapek;Male
Karen Thompson Walker;Female
Karin Boye;Female
Kass Morgan;Female
Kate Elliott;Female
Kate Wilhelm;Female
Katharine Burdekin;Female
Katharine McGee;Female
Kathe Koja;Female
Kathy Tyers;Female
Kazuo Ishiguro;Male
Keith Roberts;Male
Ken Follett;Male
Ken Grimwood;Male
Kenneth Oppel;Male
Kenneth Robeson;Male
Kenneth Thomas;Male
Kerstin Gier;Female
Kevin J. Anderson;Male
Kiera Cass;Female
Kim Liggett;Female
Kim Stanley Robinson;Male
Kingsley Amis;Male
Koushun Takami;Male
Kristine Kathryn Rusch;Female
Kurd Lasswitz;Male
Kurt Vonnegut Jr.;Male
Kōbō Abe;Male
L. Ron Hubbard;Male
L. Sprague de Camp;Male
L.M. Sagas;Female
L.R. Lam;Other
Lao She;Male
Larry Niven;Male
Laurann Dohner;Female
Lauren Beukes;Female
Lauren DeStefano;Female
Lauren Oliver;Female
Laurence Manning;Male
Leigh Brackett;Female
Lena Nguyen;Female
Lester del Rey;Male
Lily Brooks-Dalton;Female
Linden A. Lewis;Female
Lindsay Ellis;Female
Ling Ma;Female
Lissa Price;Female
Liu Cixin;Male
Lois Lowry;Female
Lois McMaster Bujold;Female
Louis Slobodkin;Male
Lydia Millet;Female
M. John Harrison;Male
M.P. Shiel;Male
M.R. Carey;Male
M.T. Anderson;Male
Madeleine L'Engle;Female
Malka Ann Older;Female
Maren Uthaug;Female
Margaret Atwood;Female
Margaret Peterson Haddix;Female
Marge Piercy;Female
Marie Lu;Female
Marion Zimmer Bradley;Female
Marisa Crane;Female
Marissa Levien;Female
Marissa Meyer;Female
Mark Clifton;Male
Marko Kloos;Male
Marlen Haushofer;Female
Marlys Millhiser;Female
Martha Wells;Female
Mary Doria Russell;Female
Mary E. Bradley Lane;Female
Mary E. Pearson;Female
Mary Robinette Kowal;Female
Mary Wollstonecraft Shelley;Female
Matt Bell;Male
Matt Haig;Male
Matthew FitzSimmons;Male
Matthew Woodring Stover;Male
Max Barry;Male
Max Brooks;Male
Meg Rosoff;Female
Megan Angelo;Female
Micaiah Johnson;Female
Michael A. Stackpole;Male
Michael Chabon;Male
Michael Crichton;Male
Michael Grant;Male
Michael Marshall Smith;Male
Michael Moorcock;Male
Michel Faber;Male
Michel Houellebecq;Male
Mike Chen;Male
Mikhail Bulgakov;Male
Mira Grant;Female
Misba;Female
Moira Young;Female
Monica Byrne;Female
Mordecai Roshwald;Male
Mur Lafferty;Female
Murray Leinster;Male
N.E. Davenport;Female
N.K. Jemisin;Female
Nalo Hopkinson;Female
Nana Kwame Adjei-Brenyah;Male
Nancy Farmer;Female
Nancy Kress;Female
Naomi Alderman;Female
Natalie Zina Walschots;Female
Natasha Pulley;Female
Neal Asher;Male
Neal Shusterman;Male
Neal Stephenson;Male
Neil Gaiman;Male
Nelson S. Bond;Male
Ness Brown;Other
Nevil Shute;Male
Nicholas Binge;Male
Nick Harkaway;Male
Nicola Griffith;Female
Nicole Kornher-Stace;Female
Nikki Erlick;Female
Nino Cipri;Other
Nnedi Okorafor;Female
Norman Spinrad;Male
Octavia E. Butler;Female
Olaf Stapledon;Male
Orson Scott Card;Male
Otis Adelbert Kline;Male
P.D. James;Female
Paddy Chayefsky;Male
Paolo Bacigalupi;Male
Pat Frank;Male
Patrick Ness;Male
Paul French;Male
Peter Brown;Male
Peter Bryant;Male
Peter Cawdron;Male
Peter David;Male
Peter F. Hamilton;Male
Peter Heller;Male
Peter Watts;Male
Philip Francis Nowlan;Male
Philip George Chadwick;Male
Philip José Farmer;Male
Philip K. Dick;Male
Philip Pullman;Male
Philip Reeve;Male
Philip Roth;Male
Philip Wylie;Male
Pierce Brown;Male
Pierre Boulle;Male
Piers Anthony;Male
Pittacus Lore;Other
Poul Anderson;Male
R.A. Lafferty;Male
R.A. Salvatore;Male
R.C. Sherriff;Male
Rachel Ward;Female
Ray Bradbury;Male
Ray Nayler;Male
Raymond F. Jones;Male
Rebecca Stead;Female
René Barjavel;Male
Rex Gordon;Male
Richard Bachman;Male
Richard Jefferies;Male
Richard K. Morgan;Male
Richard Matheson;Male
Richard Paul Evans;Male
Richard Powers;Male
Rick Yancey;Male
Rivers Solomon;Other
Rob Grant;Male
Rob Hart;Male
Robert A. Heinlein;Male
Robert Anton Wilson;Male
Robert Bloch;Male
Robert Charles Wilson;Male
Robert Cromie;Male
Robert E. Howard;Male
Robert Graves;Male
Robert Harris;Male
Robert J. Sawyer;Male
Robert L. Forward;Male
Robert Louis Stevenson;Male
Robert Lynn Asprin;Male
Robert McCammon;Male
Robert Merle;Male
Robert Shea;Male
Robert Sheckley;Male
Robert Silverberg;Male
Robin Cook;Male
Roger Zelazny;Male
Rory Power;Female
Ruby Dixon;Female
Rudy Rucker;Male
Russell Hoban;Male
Ruthanna Emrys;Female
Ruthven Todd;Male
Ryka Aoki;Female
Régis Messac;Male
S. Fowler Wright;Male
S.A. Barnes;Female
S.A. Bodeen;Female
S.B. Divya;Female
S.G. Blaise;Female
S.M. Stirling;Male
Samantha Shannon;Female
Samuel R. Delany;Male
Sara Flannery Murphy;Female
Sarah Gailey;Other
Sarah Pinsker;Female
Sarban;Male
Scarlett Thomas;Female
Scott Hawkins;Male
Scott Sigler;Male
Scott Westerfeld;Male
Sharon Lee;Female
Shaun David Hutchinson;Male
Sheri S. Tepper;Female
Sherrilyn Kenyon;Female
Sierra Greer;Female
Silvia Moreno-Garcia;Female
Simon Jimenez;Male
Sondra Marshak;Female
Spider Robinson;Male
Stanisław Lem;Male
Stanley G. Weinbaum;Male
Stanton A. Coblentz;Male
Stefan Wul;Male
Stephen Baxter;Male
Stephen King;Male
Stephen Markley;Male
Stephen R. Donaldson;Male
Stephenie Meyer;Female
Steve Alten;Male
Steve Perry;Male
Steven Gould;Male
Steven Spielberg;Male
Stina Leicht;Female
Stuart Turton;Male
Susan Beth Pfeffer;Female
Suzanne Collins;Female
Suzanne Palmer;Female
Suzanne Weyn;Female
Suzanne Young;Female
Suzette Haden Elgin;Female
Sylvain Neuvel;Male
Sylvia Engdahl;Female
Sándor Szathmári;Male
T.J. Klune;Male
Tad Williams;Male
Tade Thompson;Male
Tahereh Mafi;Female
Tamsyn Muir;Female
Tananarive Due;Female
Tanith Lee;Female
Taran Hunt;Female
Taylor Caldwell;Female
Ted Hughes;Male
Terry Brooks;Male
Terry Jones;Male
Terry Miles;Male
Terry Nation;Male
Terry Pratchett;Male
Thea Beckman;Female
Thea von Harbou;Female
Theodore Sturgeon;Male
Thomas M. Disch;Male
Thomas Pynchon;Male
Thomas R. Weaver;Male
Tim Powers;Male
Tim Pratt;Male
Timothy Zahn;Male
Tochi Onyebuchi;Male
Tom Godwin;Male
Tom McCaffrey;Male
Tom Perrotta;Male
Una McCormack;Female
Ursula K. Le Guin;Female
Vercors;Male
Vernor Vinge;Male
Veronica Rossi;Female
Veronica Roth;Female
Victor Appleton II;Male
Victor Manibo;Male
Victoria Forester;Female
Victoria Schwab;Female
Vonda N. McIntyre;Female
W.S. Lach-Szyrma;Male
Walter Jon Williams;Male
Walter M. Miller Jr.;Male
Walter Rollin Brooks;Male
Walter Tevis;Male
Ward Moore;Male
Whitley Strieber;Male
William C. Dietz;Male
William Dean Howells;Male
William F. Nolan;Male
William Gibson;Male
William Henry Hudson;Male
William Hope Hodgson;Male
William Kotzwinkle;Male
William Morris;Male
William R. Forstchen;Male
William Sleator;Male
William Tenn;Male
Wilson Tucker;Male
Xiran Jay Zhao;Other
Yasutaka Tsutsui;Male
Yevgeny Zamyatin;Male
Yume Kitasei;Female
Yōko Ogawa;Female
Zack Jordan;Male
Zoe Hana Mikuta;Female
