author;gender
Brian W. Aldiss;Male
Bruce Coville;Male
Bruce Sterling;Male
C. Robert Cargill;Male
C.M. Kornbluth;Male
C.S. Lewis;Male
Calvin Kasulke;Male
Camille Flammarion;Male
Carl Sagan;Male
Charles L. Harness;Male
Charles Soule;Male
Charles Stross;Male
Charlie Higson;Male
China Miéville;Male
Chris Hadfield;Male
Christopher Paolini;Male
Christopher Priest;Male
Chuck Palahniuk;Male
Clifford D. Simak;Male
Clive Barker;Male
Colin Wilson;Male
Colson Whitehead;Male
Cordwainer Smith;Male
Cormac McCarthy;Male
Cory Doctorow;Male
Curt Siodmak;Male
D.F. Jones;Male
Dan Abnett;Male
Dan Brown;Male
Dan Simmons;Male
Dan Wells;Male
Daniel F. Galouye;Male
Daniel Keyes;Male
Daniel Kraus;Male
Daniel O'Malley;Male
Daniel Suarez;Male
Dave Eggers;Male
Dave Wolverton;Male
David Brin;Male
David Drake;Male
David Gerrold;Male
David Lindsay;Male
David Mitchell;Male
David Weber;Male
David Whitaker;Male
David Wong;Male
Dean Koontz;Male
Dennis E. Taylor;Male
Dmitry Glukhovsky;Male
Don DeLillo;Male
Donald F. Glut;Male
Doug Naylor;Male
Douglas Adams;Male
Douglas Coupland;Male
Douglas E. Richards;Male
Douglas Preston;Male
Drew Karpyshyn;Male
"E.E. ""Doc"" Smith";Male
E.V. Odle;Male
Eando Binder;Male
Edgar Pangborn;Male
Edgar Rice Burroughs;Male
Edmond Hamilton;Male
Edmund Cooper;Male
Edson McCann;Male
Edward Ashton;Male
Edward Bellamy;Male
Edward Bulwer-Lytton;Male
Edward Everett Hale;Male
Edward Shanks;Male
Edwin A. Abbott;Male
Edwin Lester Arnold;Male
Eliot Schrefer;Male
Eoin Colfer;Male
Eric Frank Russell;Male
Eric S. Nylund;Male
Erik J. Brown;Male
Erle Cox;Male
Ernest Callenbach;Male
Ernest Cline;Male
Ernst Jünger;Male
Eugen Richter;Male
Ferenc Karinthy;Male
Frank Herbert;Male
Frank R. Stockton;Male
Frank Schätzing;Male
Fred Hoyle;Male
Frederik Pohl;Male
Fredric Brown;Male
Fritz Leiber;Male
G.K. Chesterton;Male
Garrett P. Serviss;Male
Garth Nix;Male
Gene Roddenberry;Male
Gene Wolfe;Male
George Alec Effinger;Male
George Allan England;Male
George Chetwynd Griffith;Male
George Lowther;Male
George Lucas;Male
George Orwell;Male
George R. Stewart;Male
George R.R. Martin;Male
George Tomkyns Chesney;Male
George Tucker;Male
Gerald N. Lund;Male
Glen A. Larson;Male
Gordon R. Dickson;Male
Gore Vidal;Male
Graham McNeill;Male
Greg Bear;Male
Greg Egan;Male
Gregory Benford;Male
Gregory Casparian;Male
Guido Morselli;Male
Guillermo del Toro;Male
Gustave Le Rouge;Male
H. Beam Piper;Male
H. Rider Haggard;Male
H.G. Wells;Male
H.P. Lovecraft;Male
Hal Clement;Male
Hank Green;Male
Harlan Ellison;Male
Harry Harrison;Male
Harry Turtledove;Male
Haruki Murakami;Male
Henry Kuttner;Male
Henry Winterfeld;Male
Hermann Hesse;Male
Hervé Le Tellier;Male
Hugh Howey;Male
Hugo Correa;Male
Hugo Gernsback;Male
Iain Banks;Male
Iain M. Banks;Male
Igor Nikolic;Male
Ira Levin;Male
Isaac Asimov;Male
Ivan Efremov;Male
J.-H. Rosny aîné;Male
J.D. Beresford;Male
J.G. Ballard;Male
J.J. Connington;Male
J.L. Bourne;Male
J.M. Troska;Male
Jack Campbell;Male
Jack Finney;Male
Jack L. Chalker;Male
Jack London;Male
Jack McDevitt;Male
Jack Vance;Male
Jack Williamson;Male
James Blish;Male
James Dashner;Male
James De Mille;Male
James Frey, Jobie Hughes;Male
James H. Schmitz;Male
James Kahn;Male
James P. Hogan;Male
James Patterson;Male
James S.A. Corey;Male
James Swallow;Male
James White;Male
Janusz A. Zajdel;Male
Jasper Fforde;Male
Jay Asher;Male
Jay Williams;Male
Jean de La Hire;Male
Jean-Baptiste Cousin de Grainville;Male
Jeff Long;Male
Jeff Noon;Male
Jeff VanderMeer;Male
Jeremy Robert Johnson;Male
Jerry Pournelle;Male
Jerry Sohl;Male
Jim Butcher;Male
Joe Haldeman;Male
Joe Hill;Male
John Brunner;Male
John Christopher;Male
John Crowley;Male
John D. MacDonald;Male
John Jacob Astor IV;Male
John Marrs;Male
John Marsden;Male
John Scalzi;Male
John Steakley;Male
John Taine;Male
John Varley;Male
John W. Campbell Jr.;Male
John Wyndham;Male
Jonathan Lethem;Male
Joseph O'Neill;Male
Josh Malerman;Male
José Saramago;Male
Jules Verne;Male
Justin Cronin;Male
K.M. Szpara;Male
K.W. Jeter;Male
Karel Čapek;Male
Kazuo Ishiguro;Male
Keith Roberts;Male
Ken Follett;Male
Ken Grimwood;Male
Kenneth Oppel;Male
Kevin J. Anderson;Male
Kilgore Trout;Male
Kim Stanley Robinson;Male
Kingsley Amis;Male
Koushun Takami;Male
Kurd Lasswitz;Male
Kurt Vonnegut Jr.;Male
Kōbō Abe;Male
L. Ron Hubbard;Male
L. Sprague de Camp;Male
Lao She;Male
Larry Niven;Male
Laurence Manning;Male
Lawrence Wright;Male
Lester del Rey;Male
Liu Cixin;Male
Louis Slobodkin;Male
M. John Harrison;Male
M.P. Shiel;Male
M.R. Carey;Male
M.T. Anderson;Male
Manel Loureiro;Male
Marc-Uwe Kling;Male
Mark Clifton;Male
Marko Kloos;Male
Martin MacInnes;Male
Matt Haig;Male
Matthew FitzSimmons;Male
Matthew Reilly;Male
Matthew Woodring Stover;Male
Maurice Leblanc;Male
Maurice Renard;Male
Max Barry;Male
Max Brooks;Male
Max Nowaz;Male
Michael A. Stackpole;Male
Michael Chabon;Male
Michael Crichton;Male
Michael Grant;Male
Michael Moorcock;Male
Michael P. Kube-McDowell;Male
Michel Faber;Male
Michel Houellebecq;Male
Mike Chen;Male
Mikhail Bulgakov;Male
Mordecai Roshwald;Male
Murray Leinster;Male
Nana Kwame Adjei-Brenyah;Male
Neal Shusterman;Male
Neal Stephenson;Male
Neil Gaiman;Male
Nelson S. Bond;Male
Nevil Shute;Male
Nicholas Binge;Male
Norman Spinrad;Male
O.T. Nelson;Male
Olaf Stapledon;Male
Orson Scott Card;Male
Otis Adelbert Kline;Male
Owen Gregory;Male
Paolo Bacigalupi;Male
Pat Frank;Male
Patrick Ness;Male
Paul Auster;Male
Paul French;Male
Peter Brown;Male
Peter Bryant;Male
Peter David;Male
Peter F. Hamilton;Male
Peter Heller;Male
Peter Watts;Male
Philip Francis Nowlan;Male
Philip George Chadwick;Male
Philip José Farmer;Male
Philip K. Dick;Male
Philip Pullman;Male
Philip Reeve;Male
Philip Roth;Male
Philip Wylie;Male
Pierce Brown;Male
Pierre Boulle;Male
Piers Anthony;Male
Poul Anderson;Male
R.A. Lafferty;Male
R.A. Salvatore;Male
R.C. Sherriff;Male
Ray Bradbury;Male
Ray Nayler;Male
Raymond F. Jones;Male
René Barjavel;Male
Richard Bachman;Male
Richard Jefferies;Male
Richard K. Morgan;Male
Richard Matheson;Male
Richard Paul Evans;Male
Richard Powers;Male
Rick Yancey;Male
Roald Dahl;Male
Rob Grant;Male
Rob Grant, Doug Naylor;Male
Rob Hart;Male
Robert A. Heinlein;Male
Robert Anton Wilson;Male
Robert Bloch;Male
Robert C. O'Brien;Male
Robert Charles Wilson;Male
Robert Cromie;Male
Robert E. Howard;Male
Robert Graves;Male
Robert Harris;Male
Robert Hugh Benson;Male
Robert J. Sawyer;Male
Robert L. Forward;Male
Robert Louis Stevenson;Male
Robert Lynn Asprin;Male
Robert McCammon;Male
Robert Merle;Male
Robert Shea;Male
Robert Sheckley;Male
Robert Silverberg;Male
Robin Cook;Male
Roderick Gordon;Male
Roger MacBride Allen;Male
Roger Zelazny;Male
Rudy Rucker;Male
Russell Hoban;Male
Ruthven Todd;Male
Régis Messac;Male
S. Fowler Wright;Male
S.M. Stirling;Male
Samuel Butler;Male
Samuel R. Delany;Male
Sarban;Male
Sax Rohmer;Male
Scott Hawkins;Male
Scott Sigler;Male
Scott Westerfeld;Male
Shaun David Hutchinson;Male
Simon Jimenez;Male
Skyler Ramirez;Male
Spider Robinson;Male
Stanisław Lem;Male
Stanley G. Weinbaum;Male
Stanton A. Coblentz;Male
Stefan Wul;Male
Stephen Baxter;Male
Stephen King;Male
Stephen Markley;Male
Stephen R. Donaldson;Male
Steve Alten;Male
Steve Perry;Male
Steven Decker;Male
Steven Gould;Male
Steven Hall;Male
Steven Spielberg;Male
Stuart Turton;Male
Sylvain Neuvel;Male
Sándor Szathmári;Male
T.J. Klune;Male
Tad Williams;Male
Tade Thompson;Male
Ted Dekker;Male
Ted Hughes;Male
Terry Brooks;Male
Terry Jones;Male
Terry Miles;Male
Terry Pratchett;Male
Theodore Sturgeon;Male
Thomas M. Disch;Male
Thomas Pynchon;Male
Thomas R. Weaver;Male
Tim Powers;Male
Timothy Zahn;Male
Tochi Onyebuchi;Male
Tom Godwin;Male
Tom Perrotta;Male
Upton Sinclair;Male
Vercors;Male
Vernor Vinge;Male
Victor Rousseau Emanuel;Male
W.S. Lach-Szyrma;Male
Walter Jon Williams;Male
Walter M. Miller Jr.;Male
Walter Rollin Brooks;Male
Walter Tevis;Male
Ward Moore;Male
Whitley Strieber;Male
William Brinkley;Male
William C. Dietz;Male
William Dean Howells;Male
William F. Nolan;Male
William F. Temple;Male
William Gibson;Male
William Golding;Male
William Henry Hudson;Male
William Hope Hodgson;Male
William Kotzwinkle;Male
William Morris;Male
William R. Forstchen;Male
William S. Burroughs;Male
William Sleator;Male
William Tenn;Male
Wilson Tucker;Male
Yasutaka Tsutsui;Male
Yevgeny Zamyatin;Male
أحمد خالد توفيق;Male
Annalee Newitz;Other
Hiron Ennes;Other
Kenneth Robeson;Other
L.R. Lam;Other
Linden A. Lewis;Other
Marisa Crane;Other
Ness Brown;Other
Nino Cipri;Other
Rivers Solomon;Other
Sarah Gailey;Other
Xiran Jay Zhao;Other
Ilona Gordon, Andrew Gordon;Uncertain
Trevor Alan Foris;Uncertain
Victor Appleton II;Uncertain
