title;author;url;year;rate;ratings;genres;synopsis
Shambleau;C.L. Moore;https://www.goodreads.com/book/show/722655.Shambleau;1933;3.75;368;['Science Fiction', 'Horror', 'Fantasy', 'Short Stories', 'Fiction', 'Classics', 'School'];Mass-market paperback
Skylark Three (Skylark, #2);"E.E. ""Doc"" Smith";https://www.goodreads.com/book/show/826501.Skylark_Three;1930;3.87;1526;['Science Fiction', 'Space Opera', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Pulp', 'Speculative Fiction'];In this exhilarating sequel to The Skylark of Space , momentous danger again stalks genius inventor and interplanetary adventurer Dr. Richard Seaton. Seaton’s allies on the planet Kondal are suffering devastating attacks by the forces of the Third Planet. Even worse, the menacing and contemptuous Fenachrones are threatening to conquer the galaxy and wipe out all who oppose them. And don’t forget the dastardly machinations of Seaton’s arch-nemesis, DuQuesne, who embarks on a nefarious mission of his own. Against such vile foes and impossible odds, how is victory possible? Featuring even more technological wizardry, alien worlds, and all-out action than its predecessor, Skylark Three is hailed by many as the imaginative high point of the Skylark series.
Galactic Patrol (Lensman, #3);"E.E. ""Doc"" Smith";https://www.goodreads.com/book/show/209506.Galactic_Patrol;1937;3.98;4405;['Science Fiction', 'Space Opera', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Speculative Fiction', 'Audiobook'];"The Galactic Patrol's Lensmen are the most feared peacekeepers in the Galaxy. The ""Lens,"" a telepathic jewel matched to the ego of its wearer, is the ultimate weapon in the war against the merciless pirate Boskone and his forces of lawlessness. The only problem is the Galactic Patrol isn't sure how to capitalize on the Lens' incredible powers, but new graduate Kimball Kinnison is determined to learn. Taking command of the experimental fighting ship, the Brittania, Kinnison and his crew set off on a journey of harrowing adventures, coming face to face with deadly space creatures, and the evil pirate Helmuth...who may be the dreaded Boskone himself. Read by Reed McColm. 9 CD's 10 Hrs."
A Fighting Man of Mars (Barsoom, #7);Edgar Rice Burroughs;https://www.goodreads.com/book/show/40386.A_Fighting_Man_of_Mars;1930;3.86;3991;['Science Fiction', 'Fantasy', 'Fiction', 'Adventure', 'Classics', 'Pulp', 'Sword and Planet'];"Tan Hadron from the realm of Gathol encounters a wide range of enemies in this science fiction thriller of the 1930's. He fends off green men, mad scientists, cannibals, spiders and white apes. The main character, Tan Hadron, finds himself an unlikely hero in this pulp fiction classic. ""A Fighting Man of Mars,"" is the seventh book in the Edgar Rice Burroughs Martian series."
Skylark of Valeron (Skylark #3);"E.E. ""Doc"" Smith";https://www.goodreads.com/book/show/1300801.Skylark_of_Valeron;1934;3.84;1109;['Science Fiction', 'Fiction', 'Space Opera', 'Classics', 'Pulp', 'Science Fiction Fantasy', 'Literature'];Edward E. Smith.Skylark of Valeron. Reading: Fantasy Press, 1949. First edition, first printing. Octavo. 252 pages. Publisher's binding and dust jacket.
After Worlds Collide (When Worlds Collide, #2);Philip Wylie;https://www.goodreads.com/book/show/1654726.After_Worlds_Collide;1933;3.84;893;['Science Fiction', 'Post Apocalyptic', 'Apocalyptic', 'Classics', 'Adventure', 'Science Fiction Fantasy', 'Audiobook'];Earth is destroyed in a collision with the rogue planet Bronson Alpha, with about a year of warning enabling a small group of survivors to build a spacecraft and escape to the rogue planet's moon, Bronson Beta. Filmed, with major changes to the story, as When Worlds Collide (1951).After Worlds Collide (1934) by Philip Wylie & Edwin Balmer continues the story of When Worlds Collide, with both exploration of Bronson Beta and conflict with other groups of survivors.
The Shape of Things to Come;H.G. Wells;https://www.goodreads.com/book/show/29966.The_Shape_of_Things_to_Come;1933;3.55;1255;['Science Fiction', 'Fiction', 'Classics', 'Dystopia', 'Speculative Fiction', 'Novels', 'British Literature'];When Dr Philip Raven, an intellectual working for the League of Nations, dies in 1930 he leaves behind a powerful legacy - an unpublished 'dream book'. Inspired by visions he has experienced for many years, it appears to be a book written far into the future: a history of humanity from the date of his death up to 2105. The Shape of Things to Come provides this 'history of the future', an account that was in some ways remarkably prescient - predicting climatic disaster and sweeping cultural changes, including a Second World War, the rise of chemical warfare, and political instabilities in the Middle East.
The Hour of the Dragon;Robert E. Howard;https://www.goodreads.com/book/show/421157.The_Hour_of_the_Dragon;1950;4.11;4705;['Fantasy', 'Fiction', 'Sword and Sorcery', 'Pulp', 'Adventure', 'Classics', 'Novels'];Written in the 1930s as a serial for Weird Tales, the famous pulp magazine, Hour of the Dragon is the only novel by Howard featuring his greatest creation, Conan the barbarian. This powerful novel of violent adventure has spawned many imitations in the genre over the years, including a series of best-selling paperbacks which, in imitation of Howard, continued the adventures of Conan.Conan is at the pinnacle of his career in this story, having roamed the imaginary prehistoric world of Hyborea and, with native cunning and sheer force, fought his way to the throne of Aquilonia. He is the archetype of the invincible warrior: tough, fearless and incredibly strong.As the novel opens, King Conan is captured by the magic of the evil sorcerer Xaltotun, whom Conan's enemies have raised from the dead, after three thousand years, for the express purpose of removing Conan from the throne. Conan's armies are so unprepared to battle Xaltotun's sorcery that they are routed on the battlefield and Aquilonia is conquered. Conan is secretly released from prison by a slave girl who loves him, and he fights his way out of the dungeon catacombs to freedom, defeating a giant murderous ape who blocks his way. In the course of his escape, he overhears a secret meeting and learns that the source of Xaltotun's power is a mysterious jewel, the Heart of Ahriman, which Xaltotun's allies have stolen from him to insure their control over him.Conan resolves to track the jewel across the barbaric landscape of Hyboria, destroy Xaltotun and regain his kingdom.
The Shadow Out of Time;H.P. Lovecraft;https://www.goodreads.com/book/show/872713.The_Shadow_Out_of_Time;1936;3.88;5353;['Horror', 'Fiction', 'Science Fiction', 'Lovecraftian', 'Short Stories', 'Fantasy', 'Classics'];"Voted one of the top ten Science Fiction and Fantasy Books of 2001 by Cinescape Magazine. "" The Shadow out of Time "" is H. P. Lovecraft's last major story. It was first published in Astounding Stories for June 1936. And yet, this text has never been published as Lovecraft wrote it—until now. The recent discovery of Lovecraft's handwritten manuscript allows readers to appreciate this magnificently cosmic story exactly as originally written. All previous editions of the story contain hundreds of serious errors, including errors in paragraphing, omissions and mistranscriptions of many words and passages, and erroneous punctuation. Leading Lovecraft scholars S. T. Joshi and David E. Schultz have provided an exhaustive introduction and commentary on the story, elucidating names, places and other elements in this richly evocative story. A must for all devotees of Lovecraft and weird fiction!"
Carson of Venus (Venus, #3);Edgar Rice Burroughs;https://www.goodreads.com/book/show/1397224.Carson_of_Venus;1939;3.71;1185;['Science Fiction', 'Fantasy', 'Fiction', 'Pulp', 'Adventure', 'Classics', 'Sword and Planet'];On the mist-shrouded planet of Venus, advanced civilizations blessed with eternal youth co-existed with cities haunted by the living dead, while bloodthirsty man-beasts stalked the luminous nights. Earth man Carson Napier knew how to survive the planet’s many perils-but now a merciless tribunal had condemned Carson’s beloved princess Duare to death. To save her life, the courageous Earth man stole the only airplane on Venus. But on the lovers’ flight to freedom, they learned that Duare’s father had been captured by a mad dictator.Across uncharted oceans teeming with fierce sea monsters , and through skies where man had never flown before, Carson of Venus risked his life to thwart an evil tyrant’s plan…
Swastika Night;Katharine Burdekin;https://www.goodreads.com/book/show/387373.Swastika_Night;1937;3.63;2648;['Fiction', 'Science Fiction', 'Dystopia', 'Alternate History', 'Feminism', 'Classics', 'Speculative Fiction'];Published in 1937, twelve years before Orwell's 1984, Swastika Night projects a totally male-controlled fascist world that has eliminated women as we know them. Women are breeders, kept as cattle, while men in this post-Hitlerian world are embittered automatons, fearful of all feelings, having abolished all history, education, creativity, books, and art. The plot centers on a “misfit” who asks, “How could this have happened?”
Anthem;Ayn Rand;https://www.goodreads.com/book/show/667.Anthem;1938;3.61;158290;['Fiction', 'Classics', 'Dystopia', 'Philosophy', 'Science Fiction', 'School', 'Literature'];"Anthem is Ayn Rand's classic tale of a dystopian future of the great ""We""—a world that deprives individuals of a name or independence—that anticipates her later masterpieces, The Fountainhead and Atlas Shrugged. They existed only to serve the state. They were conceived in controlled Palaces of Mating. They died in the Home of the Useless. From cradle to grave, the crowd was one—the great WE.In all that was left of humanity, there was only one man who dared to think, seek, and love. He lived in the dark ages of the future. In a loveless world, he dared to love the woman of his choice. In an age that had lost all trace of science and civilization, he had the courage to seek and find knowledge. But these were not the crimes for which he would be hunted. He was marked for death because he had committed the unpardonable sin: He had stood forth from the mindless human herd. He was a man alone. He had rediscovered the lost and holy word—I.""I worship individuals for their highest possibilities as individuals, and I loathe humanity, for its failure to live up to these possibilities."" —Ayn Rand"
Sinister Barrier;Eric Frank Russell;https://www.goodreads.com/book/show/17157176-sinister-barrier;1939;3.52;362;['Science Fiction', 'Fiction', 'British Literature', 'Novels', 'Collections', 'Fantasy'];SIN EATERS -- a future where the human race is owned and operated by the invisible Vitons, parasites that feed on human pain and anguish. The Vitons are only visible when humans come into contact with a certain combination of chemicals. After several people use the combination of chemicals painted on the skin and die, the person investigating the suspicious deaths is puzzled by the victims apparently insane actions. Investigating an epidemic of deaths among the world's leading scientists, Bill Graham learned their terrible discovery: Earth was, and had been for centuries, controlled by aliens! The alien energy beings fed on human emotions. To cultivate their 'food' they manipulated Earth affairs to create war and strife, the sources of the human fears and passions which the aliens craved.Now their machinations were leading up to a devastating world war. They would feast finally on the self-destruction of the human race. Somehow, Graham and a hand-picked team of scientists had to stop the aliens before it was too late. But even thinking about the enemy could bring death...
When Worlds Collide (When Worlds Collide, #1);Philip Wylie;https://www.goodreads.com/book/show/670572.When_Worlds_Collide;1932;3.92;2321;['Science Fiction', 'Fiction', 'Apocalyptic', 'Post Apocalyptic', 'Classics', 'Adventure', 'Speculative Fiction'];A runaway planet hurtles toward the earth. As it draws near, massive tidal waves, earthquakes, and volcanic eruptions wrack our planet, devastating continents, drowning cities, and wiping out millions. In central North America, a team of scientists race to build a spacecraft powerful enough to escape the doomed earth. Their greatest threat, they soon discover, comes not from the skies but from other humans. A crackling plot and sizzling, cataclysmic vision have made When Worlds Collide one of the most popular and influential end-of-the-world novels of all time. This Bison Frontiers of Imagination edition features the original story and its sequel, After Worlds Collide.
Doctor Dolittle's Return (Doctor Dolittle, #9);Hugh Lofting;https://www.goodreads.com/book/show/325415.Doctor_Dolittle_s_Return;1933;3.9;473;['Childrens', 'Fiction', 'Fantasy', 'Classics', 'Animals', 'Young Adult', 'Adventure'];, 288 pages, coloured frontispiece, 14 black & white plates, illustrated endpapers
Lost on Venus (Venus, #2);Edgar Rice Burroughs;https://www.goodreads.com/book/show/40423.Lost_on_Venus;1935;3.77;1246;['Science Fiction', 'Fantasy', 'Fiction', 'Pulp', 'Sword and Planet', 'Adventure', 'Classics'];"Second in the Venus series. Carson Napier begins this episode in the Room of the Seven Doors. He can leave any time he wants, but six of the seven doors lead to hideous deaths; only one is the door of life. After navigating his way out of this logic puzzle, Carson continues his quest to rescue the planet's fairest princess. He pursues this with singlemindedness, even though more terrible dangers lie ahead; even though the princess wishes neither his help or his affection; even though her people will execute him if he enters their country! Such is the honor of an Earthman's pledge."
Pirates of Venus (Venus, #1);Edgar Rice Burroughs;https://www.goodreads.com/book/show/40372.Pirates_of_Venus;1935;3.69;1742;['Science Fiction', 'Fantasy', 'Fiction', 'Pulp', 'Adventure', 'Sword and Planet', 'Classics'];"The shimmering, cloud-covered planet of Venus conceals a wondrous secret: the strikingly beautiful yet deadly world of Amtor. In Amtor, cities of immortal beings flourish in giant trees reaching thousands of feet into the sky; ferocious beasts stalk the wilderness below; rare flashes of sunlight precipitate devastating storms; and the inhabitants believe their world is saucer-shaped with a fiery center and an icy rim. Stranded on Amtor after his spaceship crashes, astronaut Carson Napier is swept into a world where revolution is ripe, the love of a princess carries a dear price, and death can come as easily from the blade of a sword as from the ray of a futuristic gun.Illustrations by Thomas Floyd, the original frontispiece by J. Allen St. John, an afterword by Phillip Burger, a glossary of Amtor terms by Scott Tracy Griffin, a map of Amtor drawn by Edgar Rice Burroughs that appeared in the first edition, and an introduction by acclaimed science fiction and horror novelist F. Paul Wilson."
Tarzan and the City of Gold (Tarzan, #16);Edgar Rice Burroughs;https://www.goodreads.com/book/show/330122.Tarzan_and_the_City_of_Gold;1932;3.73;1445;['Fantasy', 'Adventure', 'Fiction', 'Classics', 'Action', 'Pulp', 'Science Fiction'];The original unedited magazine version of this story which finds Tarzan wandering the distant lands of Abyssinia, lured by the secrets and mystery of that land. And it is in one far place that the strange white warrior in armor of ivory leads him to the luxurious court of the most beautiful woman in the world, to slavery, to the arena, to the lion pit, to an atmosphere of love and hate, of intrigue and murder, to new friends and powerful enemies, to the throne of the Great God Thoos, to flaming Xarator, and to the horrors of the Grand Hunt.
Swords of Mars (Barsoom, #8);Edgar Rice Burroughs;https://www.goodreads.com/book/show/40376.Swords_of_Mars;1935;3.84;3534;['Science Fiction', 'Fantasy', 'Fiction', 'Adventure', 'Classics', 'Pulp', 'Sword and Planet'];"""Swords of Mars"" is the eighth book in the Edgar Rice Burroughs' Martian series. It was featured in six issues of the ""Blue Book"" magazine in 1934-1935. John Carter reprises his role of hero as he vows to bring an end to the Assassins Guild. He must travel to one of the moons of Barsoom, Carter then creates a race of secret super assassins to destroy this powerful Guild of Assassins. He ventures to the city of Zedong in a fierce attempt to overthrow Ur Jan the leader pf the Assassins. There are many fantastic characters and galaxies in this compelling spy story in this edge of your seat science thriller."
Tarzan and the Forbidden City (Tarzan, #20);Edgar Rice Burroughs;https://www.goodreads.com/book/show/338590.Tarzan_and_the_Forbidden_City;1938;3.72;1498;['Fantasy', 'Adventure', 'Fiction', 'Classics', 'Action', 'Pulp', 'Science Fiction'];Tarzan cared little for the fate of adventurer Brian Gregory, drawn to the legendary city of Ashair by the rumor of the Father of Diamonds, the world's hugest gem. But to the ape-man the tie of friendship was unbreakable, and Paul d'Arnot's pleas moved him to agree to guide the expedition Gregory's father and sister organized for his rescue. The enigmatic Atan Thome was also obsessed with the Father of Diamonds, and planted agents in the Gregory safari to spy out its route and sabotage its efforts. Both parties reached their goal, remote Ashair . . . as prisoners of its priests, doomed to die in loathsome rites.
The Collected Stories of Arthur C. Clarke;Arthur C. Clarke;https://www.goodreads.com/book/show/35811.The_Collected_Stories_of_Arthur_C_Clarke;2000;4.3;6084;['Science Fiction', 'Short Stories', 'Fiction', 'Audiobook', 'Anthologies', 'Classics', 'Science Fiction Fantasy'];"Author of 2001: A Space Odyssey, Childhood's End, The City and the Stars, and the Hugo and Nebula Award-winning Rendezvous with Rama, Arthur C. Clarke is the most celebrated science fiction author alive. He is—with H. G. Wells, Isaac Asimov, and Robert A. Heinlein—one of the writers who define science fiction in our time. Now Clarke has cooperated in the preparation of a massive, definitive edition of his collected shorter works. From early work like ""Rescue Party"" and ""The Lion of Comarre,"" through classics like ""The Star,"" ""Earthlight,"" ""The Nine Billion Names of God,"" and ""The Sentinel"" (kernel of the later novel, and movie, 2001: A Space Odyssey), all the way to later work like ""A Meeting with Medusa"" and ""The Hammer of God,"" this immense volume encapsulates one of the great SF careers of all time."
The Thing on the Doorstep;H.P. Lovecraft;https://www.goodreads.com/book/show/6555373-the-thing-on-the-doorstep;1937;4.07;4481;['Horror', 'Short Stories', 'Fiction', 'Classics', 'Lovecraftian', 'Fantasy', 'Audiobook'];"""The Thing on the Doorstep"" is a short story written by H.P. Lovecraft, part of the Cthulhu Mythos universe of horror fiction. It was written in August 1933, and first published in the January 1937 issue of Weird Tales.Daniel Upton, the story's narrator, begins by telling that he has killed his best friend, Edward Derby, and that he hopes his account will prove that he is not a murderer ..."
Triplanetary (Lensman, #1);"E.E. ""Doc"" Smith";https://www.goodreads.com/book/show/444944.Triplanetary;1934;3.65;7159;['Science Fiction', 'Space Opera', 'Fiction', 'Classics', 'Audiobook', 'Pulp', 'Fantasy'];From the atomic age in Atlantis to a world remote in space and time, two incredible ancient races, the Arisians and the Eddorians, are in the midst of an interstellar war with Earth as the prize. The Arisians, using advanced mental technology, have foreseen the invasion of their galaxy by the corrupt and evil Eddorians, so they begin a breeding program on every planet in their universe. Their goal...to produce super warriors who can hold off the invading Eddorians.
The Face in the Abyss;A. Merritt;https://www.goodreads.com/book/show/952307.The_Face_in_the_Abyss;1923;3.54;296;['Fantasy', 'Science Fiction', 'Fiction', 'Pulp', 'Horror', 'Science Fiction Fantasy', 'Speculative Fiction'];"The Face in the Abyss is a classic from a ""golden age"" of science fiction. A brilliant tale filled with weird imagination, marvelous writing, horror, beauty, and it may well be called the most ""visual"" book ever written for the world of fantasy. The Face in the Abyss is a grand book with a grand cast of characters. Visualize a monstrous head that cries tears of gold, locked deep in a cavern out of time forgotten. Consider also the incredible, Snake Mother, who is both human and reptilian, and her battle with the thing called the Lord of Evil.Cover: Rodney Matthews"
The Shadow over Innsmouth;H.P. Lovecraft;https://www.goodreads.com/book/show/13175692-the-shadow-over-innsmouth;1936;4.1;22714;['Horror', 'Fiction', 'Classics', 'Fantasy', 'Short Stories', 'Lovecraftian', 'Audiobook'];Considered to the be one of most influential American authors, Howard Philip Lovecraft is synonymous with some of the best fantasy and horror fiction of the 20th century, second only to Edgar Allan Poe.Innsmouth is a dilapidated seaside town with secrets as a hybrid race of half-human and half-amphibian creatures worship the gods of Cthulhu and Dagon… Written in 1931, and published by the Visionary Publishing Company some five years later.
The Whisperer in Darkness;H.P. Lovecraft;https://www.goodreads.com/book/show/33515572-the-whisperer-in-darkness;1931;3.89;5540;['Horror', 'Fiction', 'Short Stories', 'Lovecraftian', 'Classics', 'Science Fiction', 'Fantasy'];The story is told by Albert N. Wilmarth, an instructor of literature at Miskatonic University in Arkham. When local newspapers report strange things seen floating in rivers during a historic Vermont flood, Wilmarth becomes embroiled in a controversy about the reality and significance of the sightings, though he sides with the skeptics. Wilmarth uncovers old legends about monsters living in the uninhabited hills who abduct people who venture or settle too close to their territory.
The Dreams in the Witch House;H.P. Lovecraft;https://www.goodreads.com/book/show/13278166-the-dreams-in-the-witch-house;1933;3.73;4272;['Horror', 'Short Stories', 'Fiction', 'Lovecraftian', 'Fantasy', 'Classics', 'Gothic'];This Halcyon Classics ebook is H.P. Lovecraft's classic occult tale of horror THE DREAMS IN THE WITCH-HOUSE.The story follows Walter Gilman, who takes a room in the Witch House, an accursed house in Arkham, Lovecraft's fictional New England town. The house once harbored Keziah Mason, a witch who disappeared mysteriously from a Salem jail in 1692. Gilman discovers that over the centuries most of its occupants have died prematurely. In his dreams while at the house, Gilman travels to the city of Elder Things and communes with the evil witch and her henchmen.
One Against The Legion (Legion of Space, #3);Jack Williamson;https://www.goodreads.com/book/show/898062.One_Against_The_Legion;1939;3.6;100;['Science Fiction', 'Fiction', 'Adventure', 'Speculative Fiction'];UK 1st.
From Beyond;H.P. Lovecraft;https://www.goodreads.com/book/show/11961382-from-beyond;1934;3.79;1986;['Horror', 'Short Stories', 'Lovecraftian', 'Fiction', 'Science Fiction', 'Classics', 'Weird Fiction'];"""From Beyond"" is a short story by science fiction and horror fiction writer H. P. Lovecraft. It was written in 1920 and was first published in The Fantasy Fan in June 1934 (Vol. 1, No. 10).The story is told from the first person perspective of an unnamed narrator and details his experiences with a scientist named Crawford Tillinghast. Tillinghast creates an electronic device that emits a resonance wave, which stimulates an affected person’s pineal gland, thereby allowing them to perceive planes of existence outside the scope of accepted reality."
Gray Lensman (Lensman, #4);"E.E. ""Doc"" Smith";https://www.goodreads.com/book/show/826525.Gray_Lensman;1951;3.99;3759;['Science Fiction', 'Space Opera', 'Fiction', 'Classics', 'Speculative Fiction', 'Audiobook', 'Space'];"The action in Gray Lensman picks up immediately where Galactic Patrol left off, in the middle of the battle to destroy Helmuth's Main Base and, it is hoped, fully end the threat of Boskone. After the base falls, Kinnison finds some clues that lead him to think that Helmuth was perhaps not the head of Boskone after all. The clues lead Kinnison to mount an expedition aboard the newly constructed super-dreadnought Dauntless, into the Second Galaxy where he thinks the true head of Boskone might reside. The Dauntless locates a planet under attack and comes to its aid, destroying the Boskonian forces and discovering that the entire planet is capable of going ""free"" (that is, inertialess, the method used in the Lensman books to achieve interstellar and intergalactic space travel). The Lensman returns to the First Galaxy with the space-faring planet and its grateful residents."
