title;author;url;year;rate;ratings;genres;synopsis;decade
The First Men in the Moon;H.G. Wells;https://www.goodreads.com/book/show/536478.The_First_Men_in_the_Moon;1901;3.65;17073;['Science Fiction', 'Classics', 'Fiction', 'Audiobook', 'Fantasy', 'Adventure', 'Novels'];When penniless businessman Mr Bedford retreats to the Kent coast to write a play, he meets by chance the brilliant Dr Cavor, an absent-minded scientist on the brink of developing a material that blocks gravity. Cavor soon succeeds in his experiments, only to tell a stunned Bedford the invention makes possible one of the oldest dreams of humanity: a journey to the moon. With Bedford motivated by money, and Cavor by the desire for knowledge, the two embark on the expedition. But neither are prepared for what they find - a world of freezing nights, boiling days and sinister alien life, on which they may be trapped forever.;1900
The Machine Stops;E.M. Forster;https://www.goodreads.com/book/show/4711854-the-machine-stops;1909;4.07;17630;['Science Fiction', 'Fiction', 'Short Stories', 'Classics', 'Dystopia', 'Audiobook', 'Fantasy'];The Machine Stops is a science fiction short story (12,300 words) by E. M. Forster. After initial publication in The Oxford and Cambridge Review (November 1909), the story was republished in Forster's The Eternal Moment and Other Stories in 1928. After being voted one of the best novellas up to 1965, it was included that same year in the populist anthology Modern Short Stories. In 1973 it was also included in The Science Fiction Hall of Fame, Volume Two. The book is particularly notable for predicting new technologies such as instant messaging and the internet.;1900
A Princess of Mars;Edgar Rice Burroughs;https://www.goodreads.com/book/show/40395.A_Princess_of_Mars;1912;3.81;58269;['Science Fiction', 'Fantasy', 'Classics', 'Fiction', 'Adventure', 'Pulp', 'Science Fiction Fantasy'];A Princess of Mars is the first of eleven thrilling novels that comprise Edgar Rice Burroughs' most exciting saga, known as The Martian Series. It's the beginning of an incredible odyssey in which John Carter, a gentleman from Virginia and a Civil War veteran, unexpectedly finds himself on to the red planet, scene of continuing combat among rival tribes. Captured by a band of six-limbed, green-skinned savage giants called Tharks, Carter soon is accorded all the honor of a chieftain after it's discovered that his muscles, accustomed to Earth's greater gravity, now give him a decided advantage in strength. And when his captors take as prisoner Dejah Thoris, the lovely human-looking princess of the city of Helium, Carter must call upon every ounce of strength, courage, and ingenuity to rescue her-before Dejah becomes the slave of the depraved Thark leader, Tal Hajus!;1910
The Lost World;Arthur Conan Doyle;https://www.goodreads.com/book/show/10155.The_Lost_World;1912;3.93;68337;['Science Fiction', 'Fiction', 'Adventure', 'Fantasy', 'Classics', 'Audiobook', 'Dinosaurs'];It's London, 1907. Journalist Edward Malone, rejected by the woman he loves because he is too prosaic, decides to go in search of adventure and fame to prove himself worthy of her. Soon after, he meets Professor George Challenger, a scientist who claims to have discovered a 'lost world' populated by pterodactyls and other prehistoric monsters.;1910
The Gods of Mars;Edgar Rice Burroughs;https://www.goodreads.com/book/show/841973.The_Gods_of_Mars;1913;3.88;19591;['Science Fiction', 'Fantasy', 'Fiction', 'Classics', 'Adventure', 'Pulp', 'Science Fiction Fantasy'];After the long exile on Earth, John Carter finally returned to his beloved Mars. But beautiful Dejah Thoris, the woman he loved, had vanished. Now he was trapped in the legendary Eden of Mars -- an Eden from which none ever escaped alive.The Gods of Mars is a science fantasy novel by American writer Edgar Rice Burroughs, the second of his Barsoom series. It was first published in The All-Story as a five-part serial in the issues for January-May 1913.[1] It was later published as a complete novel by A. C. McClurg in September, 1918.Excerpt:For moments after that awful laugh had ceased reverberating through the rocky room, Tars Tarkas and I stood in tense and expectant silence. But no further sound broke the stillness, nor within the range of our vision did aught move.At length Tars Tarkas laughed softly, after the manner of his strange kind when in the presence of the horrible or terrifying. It is not an hysterical laugh, but rather the genuine expression of the pleasure they derive from the things that move Earth men to loathing or to tears.Often and again have I seen them roll upon the ground in mad fits of uncontrollable mirth when witnessing the death agonies of women and little children beneath the torture of that hellish green Martian fete-the Great Games.I looked up at the Thark, a smile upon my own lips, for here in truth was greater need for a smiling face than a trembling chin.;1910
Thuvia, Maid of Mars;Edgar Rice Burroughs;https://www.goodreads.com/book/show/40387.Thuvia_Maid_of_Mars;1916;3.76;9550;['Science Fiction', 'Fantasy', 'Fiction', 'Classics', 'Adventure', 'Pulp', 'Science Fiction Fantasy'];"Mars has become divided by love. Not one, but two princes and a Jeddak are vying for the love of Thuvia of Ptarth. When she is mysteriously kidnapped, treachery threatens to throw Barsoom into bloody war. Now Cathoris must follow in the footsteps of his father, John Carter, and overcome phantom armies, dangerous spies and savage beasts as he attempts to save his true love and reunite Mars. The fourth Martian novel from Burroughs.Excerpt:Upon a massive bench of polished ersite beneath the gorgeous blooms of a giant pimalia a woman sat. Her shapely, sandalled foot tapped impatiently upon the jewel-strewn walk that wound beneath the stately sorapus trees across the scarlet sward of the royal gardens of Thuvan Dihn, Jeddak of Ptarth, as a dark-haired, red-skinned warrior bent low toward her, whispering heated words close to her ear. ""Ah, Thuvia of Ptarth,"" he cried, ""you are cold even before the fiery blasts of my consuming love! No harder than your heart, nor colder is the hard, cold ersite of this thrice happy bench which supports your divine and fadeless form! Tell me, O Thuvia of Ptarth, that I may still hope-that though you do not love me now, yet some day, some day, my princess, I-"" The girl sprang to her feet with an exclamation of surprise and displeasure. Her queenly head was poised haughtily upon her smooth red shoulders. Her dark eyes looked angrily into those of the man.";1910
The Warlord of Mars;Edgar Rice Burroughs;https://www.goodreads.com/book/show/40379.The_Warlord_of_Mars;1919;3.87;14983;['Science Fiction', 'Fantasy', 'Fiction', 'Classics', 'Adventure', 'Pulp', 'Science Fiction Fantasy'];John Carter risks everything to rescue his wife, Princess Dejah Thoris, from the clutches of his evil adversaries, but he is always just one step behind! His battles cover the face of the red planet, as his quest carries him ultimately to the mysterious northern pole. Will this civilization, submerged in ice, prove fatal to our hero? This is the third of eleven in the popular 'Martian' series by Edgar Rice Burroughs.Duration: 5 hr., 48 min.;1910
R.U.R.;Karel Čapek;https://www.goodreads.com/book/show/436562.R_U_R_;1920;3.83;15030;['Science Fiction', 'Plays', 'Classics', 'Fiction', 'Czech Literature', 'Dystopia', 'School'];"R.U.R.--written in 1920--garnered worldwide acclaim for its author and popularized the word ""Robot."" Mass-produced, efficient and servile labor, Čapek's Robots remember everything, but lack creative thought, and the Utopian life they provide ultimately lacks meaning. When the Robots revolt, killing all but one of their masters, they must attempt to learn the secret of self-duplication. But their attempts at replication leave them with nothing but bloody chunks of meat. It's not until two robots fall in love and are christened ""Adam"" and ""Eve"" by the last surviving human that Nature emerges triumphant.";1920
We;Yevgeny Zamyatin;https://www.goodreads.com/book/show/76171.We;1924;3.89;99924;['Fiction', 'Science Fiction', 'Classics', 'Dystopia', 'Russia', 'Russian Literature', 'Literature'];The exhilarating dystopian novel that inspired George Orwell's 1984 and foreshadowed the worst excesses of Soviet RussiaYevgeny Zamyatin's We is a powerfully inventive vision that has influenced writers from George Orwell to Ayn Rand. In a glass-enclosed city of absolute straight lines, ruled over by the all-powerful 'Benefactor', the citizens of the totalitarian society of OneState live out lives devoid of passion and creativity - until D-503, a mathematician who dreams in numbers, makes a discovery: he has an individual soul. Set in the twenty-sixth century AD, We is the classic dystopian novel and was the forerunner of works such as George Orwell's 1984 and Aldous Huxley's Brave New World. It was suppressed for many years in Russia and remains a resounding cry for individual freedom, yet is also a powerful, exciting and vivid work of science fiction. Clarence Brown's brilliant translation is based on the corrected text of the novel, first published in Russia in 1988 after more than sixty years' suppression.;1920
The Call of Cthulhu;H.P. Lovecraft;https://www.goodreads.com/book/show/15730101-the-call-of-cthulhu;1928;4.03;115266;['Horror', 'Classics', 'Fiction', 'Short Stories', 'Fantasy', 'Science Fiction', 'Lovecraftian'];One of the feature stories of the Cthulhu Mythos, H.P. Lovecraft's The Call of Cthulhu is a harrowing tale of the weakness of the human mind when confronted by powers and intelligences from beyond our world.;1920
Last and First Men;Olaf Stapledon;https://www.goodreads.com/book/show/2749148-last-and-first-men;1930;3.79;6451;['Science Fiction', 'Fiction', 'Classics', 'Philosophy', 'Speculative Fiction', 'Fantasy', 'Science Fiction Fantasy'];"""No book before or since has ever had such an impact upon my imagination,"" declared Arthur C. Clarke of Last and First Men. This masterpiece of science fiction by British philosopher and writer Olaf Stapledon (1886–1950) is an imaginative, ambitious history of humanity's future that spans billions of years. Together with its follow-up, Star Maker, it is regarded as the standard by which all earlier and later future histories are measured.The protagonist of this compelling novel is humanity itself, stripped down to sheer intelligence. It evolves through the ages: rising to pinnacles of civilization, teetering on the brink of extinction, surviving onslaughts from other planets and a decline in solar energy, and constantly developing new forms, new senses, and new intellectual abilities. From the present to five billion years into the future, this romance of humanity abounds in profound and imaginative thought.";1930
At the Mountains of Madness;H.P. Lovecraft;https://www.goodreads.com/book/show/32767.At_the_Mountains_of_Madness;1931;3.81;55571;['Horror', 'Fiction', 'Classics', 'Science Fiction', 'Fantasy', 'Audiobook', 'Lovecraftian'];"Long acknowledged as a master of nightmarish vision, H.P. Lovecraft established the genuineness and dignity of his own pioneering fiction in 1931 with his quintessential work of supernatural horror, At the Mountains of Madness. The deliberately told and increasingly chilling recollection of an Antarctic expedition's uncanny discoveries --and their encounter with an untold menace in the ruins of a lost civilization--is a milestone of macabre literature.This Definitive Edition of At the Mountains of Madness (The Modern Library) also includes Lovecraft's long essay ""Supernatural Horror in Literature.""";1930
Brave New World;Aldous Huxley;https://www.goodreads.com/book/show/5129.Brave_New_World;1932;3.99;1900926;['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'School'];"Aldous Huxley's profoundly important classic of world literature, Brave New World is a searching vision of an unequal, technologically-advanced future where humans are genetically bred, socially indoctrinated, and pharmaceutically anesthetized to passively uphold an authoritarian ruling order–all at the cost of our freedom, full humanity, and perhaps also our souls. “A genius [who] who spent his life decrying the onward march of the Machine” (The New Yorker), Huxley was a man of incomparable talents: equally an artist, a spiritual seeker, and one of history’s keenest observers of human nature and civilization. Brave New World, his masterpiece, has enthralled and terrified millions of readers, and retains its urgent relevance to this day as both a warning to be heeded as we head into tomorrow and as thought-provoking, satisfying work of literature. Written in the shadow of the rise of fascism during the 1930s, Brave New Worldd likewise speaks to a 21st-century world dominated by mass-entertainment, technology, medicine and pharmaceuticals, the arts of persuasion, and the hidden influence of elites. ""Aldous Huxley is the greatest 20th century writer in English."" —Chicago Tribune";1930
Triplanetary;"E.E. ""Doc"" Smith";https://www.goodreads.com/book/show/444944.Triplanetary;1934;3.65;7159;['Science Fiction', 'Space Opera', 'Fiction', 'Classics', 'Audiobook', 'Pulp', 'Fantasy'];From the atomic age in Atlantis to a world remote in space and time, two incredible ancient races, the Arisians and the Eddorians, are in the midst of an interstellar war with Earth as the prize. The Arisians, using advanced mental technology, have foreseen the invasion of their galaxy by the corrupt and evil Eddorians, so they begin a breeding program on every planet in their universe. Their goal...to produce super warriors who can hold off the invading Eddorians.;1930
War with the Newts;Karel Čapek;https://www.goodreads.com/book/show/816440.War_with_the_Newts;1936;4.17;15106;['Science Fiction', 'Fiction', 'Classics', 'Czech Literature', 'Dystopia', 'Fantasy', 'Humor'];Man discovers a species of giant, intelligent newts and learns to exploit them so successfully that the newts gain skills and arms enough to challenge man's place at the top of the animal kingdom. Along the way, Karel Capek satirizes science, runaway capitalism, fascism, journalism, militarism, even Hollywood.;1930
The Hobbit;J.R.R. Tolkien;https://www.goodreads.com/book/show/5907.The_Hobbit;1937;4.29;4098119;['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Young Adult', 'High Fantasy', 'Science Fiction Fantasy'];In a hole in the ground there lived a hobbit. Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole, and that means comfort.Written for J.R.R. Tolkien’s own children, The Hobbit met with instant critical acclaim when it was first published in 1937. Now recognized as a timeless classic, this introduction to the hobbit Bilbo Baggins, the wizard Gandalf, Gollum, and the spectacular world of Middle-earth recounts of the adventures of a reluctant hero, a powerful and dangerous ring, and the cruel dragon Smaug the Magnificent. The text in this 372-page paperback edition is based on that first published in Great Britain by Collins Modern Classics (1998), and includes a note on the text by Douglas A. Anderson (2001).;1930
Star Maker;Olaf Stapledon;https://www.goodreads.com/book/show/525304.Star_Maker;1937;3.91;8420;['Science Fiction', 'Fiction', 'Philosophy', 'Classics', 'Fantasy', 'Speculative Fiction', 'Novels'];One moment a man sits on a suburban hill, gazing curiously at the stars. The next, he is whirling through the firmament, and perhaps the most remarkable of all science fiction journeys has begun.Even Stapledon's other great work, LAST AND FIRST MEN, pales in ambition next to STAR MAKER, which presents nothing less than an entire imagined history of life in the universe, encompassing billions of years.;1930
Out of the Silent Planet;C.S. Lewis;https://www.goodreads.com/book/show/25350.Out_of_the_Silent_Planet;1938;3.93;97465;['Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Christian', 'Christian Fiction', 'Science Fiction Fantasy'];In the first novel of C.S. Lewis's classic science fiction trilogy, Dr Ransom, a Cambridge academic, is abducted and taken on a spaceship to the red planet of Malacandra, which he knows as Mars. His captors are plotting to plunder the planet's treasures and plan to offer Ransom as a sacrifice to the creatures who live there. Ransom discovers he has come from the 'silent planet' – Earth – whose tragic story is known throughout the universe...;1930
Who Goes There?;John W. Campbell Jr.;https://www.goodreads.com/book/show/6468870-who-goes-there;1938;3.8;10466;['Horror', 'Science Fiction', 'Fiction', 'Classics', 'Short Stories', 'Novella', 'Aliens'];"""Who Goes There?"" is the novella that formed the basis of John Carpenter's film The Thing. Campbell's classic story tells of an Antarctic research base that discovers and thaws the ancient, frozen body of a crash-landed alien—with terrifying results!This Wildside Press edition is the only ebook version of this classic story authorized by the Campbell estate.";1930
Anthem;Ayn Rand;https://www.goodreads.com/book/show/667.Anthem;1938;3.61;158270;['Fiction', 'Classics', 'Dystopia', 'Philosophy', 'Science Fiction', 'School', 'Literature'];"Anthem is Ayn Rand's classic tale of a dystopian future of the great ""We""—a world that deprives individuals of a name or independence—that anticipates her later masterpieces, The Fountainhead and Atlas Shrugged. They existed only to serve the state. They were conceived in controlled Palaces of Mating. They died in the Home of the Useless. From cradle to grave, the crowd was one—the great WE.In all that was left of humanity, there was only one man who dared to think, seek, and love. He lived in the dark ages of the future. In a loveless world, he dared to love the woman of his choice. In an age that had lost all trace of science and civilization, he had the courage to seek and find knowledge. But these were not the crimes for which he would be hunted. He was marked for death because he had committed the unpardonable sin: He had stood forth from the mindless human herd. He was a man alone. He had rediscovered the lost and holy word—I.""I worship individuals for their highest possibilities as individuals, and I loathe humanity, for its failure to live up to these possibilities."" —Ayn Rand";1930
Slan;A.E. van Vogt;https://www.goodreads.com/book/show/643792.Slan;1940;3.69;5550;['Science Fiction', 'Fiction', 'Classics', 'Hugo Awards', 'Audiobook', 'Science Fiction Fantasy', 'Speculative Fiction'];In the 1940s, the Golden Age of science fiction flowered in the magazine Astounding. Editor John W. Campbell, Jr., discovered and promoted great new writers such as A.E. van Vogt, whose novel Slan was one of the works of the era.Slan is the story of Jommy Cross, the orphan mutant outcast from a future society prejudiced against mutants, or slans. Throughout the forties and into the fifties, Slan was considered the single most important SF novel, the one great book that everyone had to read. Today it remains a monument to pulp SF adventure, filled with constant action and a cornucopia of ideas.This edition has a new introduction by Kevin J. Anderson.;1940
Perelandra;C.S. Lewis;https://www.goodreads.com/book/show/100924.Perelandra;1943;4.0;54891;['Science Fiction', 'Fiction', 'Fantasy', 'Christian', 'Classics', 'Christian Fiction', 'Science Fiction Fantasy'];The second book in C. S. Lewis's acclaimed Space Trilogy, which also includes Out of the Silent Planet and That Hideous Strength, Perelandra continues the adventures of the extraordinary Dr. Ransom. Pitted against the most destructive of human weaknesses, temptation, the great man must battle evil on a new planet  Perelandra  when it is invaded by a dark force. Will Perelandra succumb to this malevolent being, who strives to create a new world order and who must destroy an old and beautiful civilization to do so? Or will it throw off the yoke of corruption and achieve a spiritual perfection as yet unknown to man? The outcome of Dr. Ransom's mighty struggle alone will determine the fate of this peace-loving planet.;1940
City;Clifford D. Simak;https://www.goodreads.com/book/show/222093.City;1944;4.08;17854;['Science Fiction', 'Fiction', 'Short Stories', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Speculative Fiction'];"Simak's ""City"" is a series of connected stories, a series of legends, myths, and campfire stories told by Dogs about the end of human civilization, centering on the Webster family, who, among their other accomplishments, designed the ships that took Men to the stars and gave Dogs the gift of speech and robots to be their hands.Contents:· City · May 1944 · Huddling Place · Jul 1944 · Census · Sep 1944 · Desertion · Nov 1944 · Paradise · Jun 1946 · Hobbies · Nov 1946 · Aesop · Dec 1947 · The Simple Way [The Trouble with Ants] · Jan 1951.";1940
Animal Farm;George Orwell;https://www.goodreads.com/book/show/170448.Animal_Farm;1945;3.99;4011403;['Classics', 'Fiction', 'Dystopia', 'Fantasy', 'School', 'Literature', 'Science Fiction'];Librarian's note: There is an Alternate Cover Edition for this edition of this book here.A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned –a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible. When Animal Farm was first published, Stalinist Russia was seen as its target. Today it is devastatingly clear that wherever and whenever freedom is attacked, under whatever banner, the cutting clarity and savage comedy of George Orwell’s masterpiece have a meaning and message still ferociously fresh.;1940
That Hideous Strength;C.S. Lewis;https://www.goodreads.com/book/show/100933.That_Hideous_Strength;1945;3.92;41756;['Fiction', 'Science Fiction', 'Fantasy', 'Christian', 'Classics', 'Christian Fiction', 'Science Fiction Fantasy'];The third novel in the science-fiction trilogy by C.S. Lewis. This final story is set on Earth, and tells of a terrifying conspiracy against humanity.The story surrounds Mark and Jane Studdock, a newly married couple. Mark is a Sociologist who is enticed to join an organisation called N.I.C.E. which aims to control all human life. His wife, meanwhile, has bizarre prophetic dreams about a decapitated scientist, Alcasan. As Mark is drawn inextricably into the sinister organisation, he discovers the truth of his wife’s dreams when he meets the literal head of Alcasan which is being kept alive by infusions of blood.Jane seeks help concerning her dreams at a community called St Anne’s, where she meets their leader – Dr Ransom (the main character of the previous two titles in the trilogy). The story ends in a final spectacular scene at the N.I.C.E. headquarters where Merlin appears to confront the powers of Hell.;1940
Rocket Ship Galileo;Robert A. Heinlein;https://www.goodreads.com/book/show/16682.Rocket_Ship_Galileo;1947;3.72;7983;['Science Fiction', 'Fiction', 'Young Adult', 'Science Fiction Fantasy', 'Audiobook', 'Adventure', 'Novels'];Winner of four Hugo Awards and the Grand Master Nebula Award for Lifetime Achievement.Three high school students formed the Galileo Club to share their interests in science and space exploration. But they never imagined they would team up with a nuclear physicist to construct and crew a rocket bound for the moon.And they never expected to gain some powerful enemies in the process.;1940
Space Cadet;Robert A. Heinlein;https://www.goodreads.com/book/show/50852.Space_Cadet;1948;3.85;9089;['Science Fiction', 'Fiction', 'Young Adult', 'Science Fiction Fantasy', 'Space Opera', 'Adventure', 'Speculative Fiction'];This is the seminal novel of a young man's education as a member of an elite, paternalistic non-military organization of leaders dedicated to preserving human civilization, the Solar Patrol, a provocative parallel to Heinlein's famous later novel, Starship Troopers. Only the best and brightest--the strongest and the most courageous--ever manage to become Space Cadets, at the Space Academy. They are in training to be come part of the elite guard of the solar system, accepting missions others fear, taking risks no others dare, and upholding the peace of the solar system for the benefit of all.But before Matt Dodson can earn his rightful place in the ranks, his mettle is to be tested in the most severe and extraordinary ways--ways that change him forever, from the midwestern American boy into a man of the Solar Patrol.;1940
